City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mpika,-11.8343,31.4529,56.1,42,81,4.27,ZM,1723069287
83,kalmunai,7.4167,81.8167,79.75,85,100,7.74,LK,1723069288
84,vila franca do campo,37.7167,-25.4333,73.81,89,75,7.58,PT,1723069289
85,mstsislaw,54.0192,31.7257,58.68,91,100,5.59,BY,1723069290
86,ixtapa,20.7,-105.2,88.83,66,75,10.36,MX,1723069098
87,lerik,38.7726,48.4128,61.52,66,0,2.84,AZ,1723069292
88,udachny,66.4167,112.4,57.42,56,88,11.12,RU,1723069293
89,kruisfontein,-34.0033,24.7314,52.61,48,1,6.04,ZA,1723069294
90,hobyo,5.3505,48.5268,75.76,87,100,23.58,SO,1723069295
91,monett,36.929,-93.9277,88.02,45,0,5.75,US,1723069296
92,kadugli,11.0167,29.7167,73.8,89,100,10.49,SD,1723069297
93,acapulco de juarez,16.8634,-99.8901,87.62,66,75,13.8,MX,1723069298
94,tralee,52.2704,-9.7026,55.85,96,92,4.97,IE,1723069301
95,selfoss,63.9331,-20.9971,54.05,85,81,5.68,IS,1723069302
96,tiksi,71.6872,128.8694,45.46,87,100,2.13,RU,1723069303
97,wailua homesteads,22.0669,-159.378,83.12,66,75,16.11,US,1723069305
98,groningen,53.25,6.75,60.17,82,27,6.22,NL,1723069079
99,mengcheng chengguanzhen,33.2661,116.566,80.71,84,99,2.66,CN,1723069307
100,buala,-8.145,159.5921,81.19,80,99,7.81,SB,1723069308
101,barreirinhas,-2.7469,-42.8264,77.63,76,14,8.9,BR,1723069309
102,kodiak,57.79,-152.4072,56.71,88,100,6.91,US,1723069310
103,greymouth,-42.4667,171.2,48.38,84,94,12.15,NZ,1723069311
104,port saint john's,-31.6229,29.5448,65.23,59,95,5.61,ZA,1723069312
105,invercargill,-46.4,168.35,48.02,94,73,5.99,NZ,1723069313
106,sao joao da barra,-21.6403,-41.0511,73.49,81,0,24.96,BR,1723069292
107,isangel,-19.55,169.2667,71.71,78,75,2.3,VU,1723069316
108,weno,7.4515,151.8468,84.52,74,68,10.0,FM,1723069317
109,scarborough,54.2797,-0.4044,59.67,80,66,8.01,GB,1723069112
110,victoria falls,-17.9235,25.843,65.08,34,0,3.38,ZW,1723069319
111,port elizabeth,-33.918,25.5701,44.89,70,20,6.91,ZA,1723069320
112,happy valley-goose bay,53.3168,-60.3315,61.11,82,75,3.44,CA,1723069321
113,cadale,2.7603,46.3222,76.57,81,100,16.6,SO,1723069322
114,mount pearl,47.5166,-52.7813,66.96,73,75,13.8,CA,1723069323
115,wakkanai,45.4094,141.6739,68.11,98,100,4.34,JP,1723069324
116,san patricio,28.017,-97.5169,97.54,38,18,14.34,US,1723069325
117,lautoka,-17.6167,177.4667,76.86,50,20,13.8,FJ,1723069326
118,sanford,28.8006,-81.2731,93.29,60,0,14.97,US,1723069327
119,urangan,-25.3,152.9,64.02,76,6,11.99,AU,1723069328
120,weissenburg in bayern,49.0309,10.9722,68.38,98,87,4.68,DE,1723069329
121,nova sintra,14.8667,-24.7167,77.83,83,91,14.27,CV,1723069331
122,thompson,55.7435,-97.8558,64.56,48,75,11.5,CA,1723069041
123,sokolovyy,51.5686,45.8331,68.56,86,58,4.27,RU,1723069333
124,inarajan village,13.2736,144.7484,86.14,87,98,4.61,GU,1723069334
125,dazhong,33.1997,120.4578,79.75,96,100,4.45,CN,1723069335
126,lospalos,-8.5186,127.0025,67.46,91,9,6.24,TL,1723069336
127,anavyssos,37.7333,23.95,87.19,48,0,7.56,GR,1723069337
128,tlapa de comonfort,17.55,-98.55,84.7,56,97,2.91,MX,1723069338
129,cabedelo,-6.9811,-34.8339,75.87,75,53,14.07,BR,1723069339
130,enewetak,11.3474,162.3373,83.79,74,48,11.52,MH,1723069340
131,vadso,70.0744,29.7487,63.48,58,0,5.75,NO,1723069104
132,howard springs,-12.497,131.047,69.71,78,5,6.2,AU,1723069342
133,benguela,-12.5763,13.4055,68.43,85,63,3.83,AO,1723069343
134,wynyard,-41.0,145.7167,51.39,91,100,9.22,AU,1723069344
135,nar'yan-mar,67.6713,53.087,41.45,90,7,6.53,RU,1723069345
136,saipan,15.1355,145.701,86.7,79,20,5.75,MP,1723069346
137,chipinge,-20.1883,32.6236,55.02,93,0,4.03,ZW,1723069347
138,la passe,45.5549,-0.8967,66.97,67,99,10.42,FR,1723069349
139,gadzhiyevo,69.2551,33.3362,56.84,61,8,10.2,RU,1723069350
140,atafu village,-8.5421,-172.5159,83.35,70,61,19.8,TK,1723069351
141,kudahuvadhoo,2.6708,72.8944,80.83,80,100,16.69,MV,1723069129
142,la baule-escoublac,47.2922,-2.364,62.26,92,0,5.75,FR,1723069353
143,nyurba,63.2842,118.3319,54.16,74,54,4.14,RU,1723069065
144,utrik,11.2278,169.8474,83.05,77,85,12.86,MH,1723069355
145,alto barinas,8.5931,-70.2261,83.59,80,38,2.8,VE,1723069356
146,pong nam ron,12.9058,102.2623,79.18,98,100,4.18,TH,1723069357
147,mwingi,-0.9344,38.0601,67.1,83,89,6.87,KE,1723069358
148,opuwo,-18.0607,13.84,64.89,31,0,3.6,NA,1723069359
149,vorgashor,67.5833,63.95,42.69,78,13,5.41,RU,1723069360
150,san marcos,33.1434,-117.1661,90.05,61,89,4.0,US,1723069361
151,west island,-12.1568,96.8225,78.78,78,75,10.36,CC,1723069362
152,labrador city,52.9463,-66.9114,53.51,66,75,17.27,CA,1723069363
153,igarka,67.4667,86.5833,46.11,70,2,11.56,RU,1723069364
154,thunder bay,48.4001,-89.3168,74.68,48,89,12.33,CA,1723068577
155,praia da vitoria,38.7333,-27.0667,73.65,78,20,4.83,PT,1723069366
156,garoua boulai,5.8833,14.55,65.21,93,99,3.74,CM,1723069368
157,winnemucca,40.973,-117.7357,95.05,10,0,11.5,US,1723069369
158,hurricane,37.1753,-113.2899,102.49,23,49,10.0,US,1723069370
159,salo,45.6086,10.531,73.36,85,85,6.46,IT,1723069371
160,tura,25.5198,90.2201,74.97,97,100,6.96,IN,1723069372
161,yuanping,38.7153,112.7575,64.06,93,0,2.21,CN,1723069373
162,punta del este,-34.9667,-54.95,51.96,88,75,14.0,UY,1723069374
163,inhambane,-23.865,35.3833,67.86,83,18,5.46,MZ,1723069375
164,egilsstadir,65.2653,-14.3948,46.31,93,75,9.22,IS,1723069376
165,khandyga,62.6667,135.6,52.7,87,8,2.48,RU,1723069378
166,berezhani,49.45,24.9333,61.57,77,31,3.22,UA,1723069379
167,aykhal,66.0,111.5,56.17,61,92,9.53,RU,1723069380
168,tsiombe,-25.3,45.4833,67.73,81,66,14.36,MG,1723069381
169,lazaro cardenas,17.9583,-102.2,87.89,65,42,16.04,MX,1723069382
170,kenai,60.5544,-151.2583,60.03,95,100,11.5,US,1723069384
171,al jawf,29.5,38.75,83.43,12,2,6.89,SA,1723069385
172,ghat,24.9647,10.1728,92.57,11,5,15.57,LY,1723069386
173,bani mazar,28.5036,30.8004,88.29,32,0,16.49,EG,1723069387
174,harper,4.375,-7.7169,75.07,76,100,9.62,LR,1723069341
175,bulayevo,54.9056,70.4439,53.96,96,99,5.68,KZ,1723069389
176,constantia,44.1833,28.65,65.08,70,4,4.72,RO,1723069390
177,ngong,-1.3618,36.6566,60.78,83,69,6.93,KE,1723069391
178,chonchi,-42.6128,-73.8092,47.41,94,34,0.51,CL,1723069392
179,kiunga,-6.1219,141.2906,73.33,97,96,3.53,PG,1723069393
180,solnechnyy,50.7214,136.6319,65.71,99,100,4.72,RU,1723069394
181,freeport,40.6576,-73.5832,68.11,90,100,11.5,US,1723069395
182,papatowai,-46.5619,169.4708,45.91,92,100,8.12,NZ,1723069396
183,tumayr,25.7039,45.868,89.19,9,44,10.29,SA,1723069397
184,colonia,50.9333,6.95,66.29,80,75,5.23,DE,1723069237
185,coyutla,20.25,-97.65,91.31,76,79,6.42,MX,1723069399
186,puerto quijarro,-17.7833,-57.7667,85.75,29,1,1.81,BO,1723069401
187,port macquarie,-31.4333,152.9167,56.07,85,99,4.0,AU,1723069402
188,svishtov,43.6231,25.3539,69.28,55,3,6.53,BG,1723069403
189,fort st. john,56.2499,-120.8529,76.89,36,20,8.05,CA,1723069404
190,kapa'a,22.0752,-159.319,84.47,64,75,16.11,US,1723069405
191,lensk,60.7253,114.9278,59.52,67,23,3.51,RU,1723069406
192,jalai nur,49.45,117.7,61.7,73,28,3.96,CN,1723069407
193,sarria,42.7815,-7.4143,63.46,99,6,3.51,ES,1723069408
194,ziway,7.9333,38.7167,66.06,80,100,13.73,ET,1723069409
195,ulsteinvik,62.3432,5.8487,62.31,81,100,4.0,NO,1723069410
196,lauro de freitas,-12.8944,-38.3272,73.42,88,75,13.8,BR,1723069411
197,fortuna,40.5982,-124.1573,66.97,71,0,14.97,US,1723069412
198,petropavlovsk-kamchatsky,53.0452,158.6483,70.39,64,20,8.95,RU,1723069414
199,reggane,26.7158,0.1714,100.04,10,0,14.14,DZ,1723069415
200,hami,42.8,93.45,66.96,68,100,8.19,CN,1723069416
201,son la,21.3167,103.9,68.97,99,86,2.21,VN,1723069152
202,port blair,11.6667,92.75,77.04,94,75,1.14,IN,1723069419
203,keita,14.7551,5.7749,82.51,57,96,10.38,NE,1723069420
204,tazacorte,28.629,-17.9293,76.17,87,100,14.97,ES,1723069421
205,qamdo,31.1667,97.2333,45.54,83,100,4.29,CN,1723069422
206,salalah,17.0151,54.0924,77.09,100,100,6.91,OM,1723069423
207,pachino,36.7186,15.0907,81.12,74,1,6.35,IT,1723069424
208,rikaze,29.25,88.8833,57.06,54,100,4.23,CN,1723069425
209,zeya,53.75,127.2667,62.73,97,100,4.54,RU,1723069426
210,hammerfest,70.6634,23.6821,70.25,40,7,6.91,NO,1723069427
211,olovyannaya,50.95,115.5667,61.7,63,36,1.3,RU,1723069428
212,viedma,-40.8135,-62.9967,42.55,68,100,16.51,AR,1723069189
213,sernur,56.9333,49.1536,57.49,98,36,5.53,RU,1723069430
214,wuwei,37.9281,102.6414,69.66,67,100,6.67,CN,1723069431
215,dana point,33.467,-117.6981,89.35,74,99,5.99,US,1723069432
216,chimoio,-19.1164,33.4833,60.66,100,0,1.23,MZ,1723069433
